ep_x,       ep_y,     area,                     toten
#_no-unit,  no-unit,  ang^2,                    Ry
-0.006,     -0.006,   10.68871521358005246616,  -54.86703423
-0.006,     -0.004,   10.71022867463802950013,  -54.86736291
-0.006,     -0.002,   10.73174287661972391862,  -54.86763546
-0.006,     -0.000,   10.75325633767770095259,  -54.86783249
-0.006,     0.002,    10.77476979873567798656,  -54.86797530
-0.006,     0.004,    10.79624028621804671815,  -54.86806014
-0.006,     0.006,    10.81775448819974113664,  -54.86807843
-0.004,     -0.006,   10.71020348323163842632,  -54.86736387
